Subject	Regulate	Score	Group
Subject15	Microbe16	0.051380340457694074	Microbe
Subject16	Microbe16	0.051394899663363955	Microbe
Subject17	Microbe16	0.05135183055906608	Microbe
Subject18	Microbe16	0.0513934427460988	Microbe
Subject19	Microbe16	0.05135035920380124	Microbe
Subject1	Microbe17	0.04101264010476878	Microbe
Subject2	Microbe17	0.051899205074455244	Microbe
Subject3	Microbe17	0.05187209012096905	Microbe
Subject4	Microbe17	0.04981417580378887	Microbe
Subject5	Microbe17	0.05157901713623135	Microbe
Subject6	Microbe17	0.05161837841925004	Microbe
Subject7	Microbe17	0.05138629944133652	Microbe
Subject8	Microbe17	0.05155717873971261	Microbe
Subject9	Microbe17	0.05153065455453827	Microbe
Subject10	Microbe17	0.05139198457383596	Microbe
Subject11	Microbe17	0.05146150236823017	Microbe
Subject12	Microbe17	0.051492453607903124	Microbe
Subject13	Microbe17	0.0514812717741867	Microbe
Subject14	Microbe17	0.05144756180717353	Microbe
Subject15	Microbe17	0.051380330148041185	Microbe
Subject16	Microbe17	0.051394844870900964	Microbe
Subject17	Microbe17	0.05135181406998199	Microbe
Subject18	Microbe17	0.05139344352899909	Microbe
Subject19	Microbe17	0.05135035985169443	Microbe
Subject1	Microbe18	0.040975011137247976	Microbe
Subject2	Microbe18	0.05189276930124895	Microbe
Subject3	Microbe18	0.051872076264079435	Microbe
Subject4	Microbe18	0.04982323283946169	Microbe
Subject5	Microbe18	0.05157643483854887	Microbe
Subject6	Microbe18	0.05160704870584065	Microbe
Subject7	Microbe18	0.05137807888105367	Microbe
Subject8	Microbe18	0.05155066394032483	Microbe
Subject9	Microbe18	0.05152128840124739	Microbe
Subject10	Microbe18	0.05138792887139771	Microbe
Subject11	Microbe18	0.0514523936641644	Microbe
Subject12	Microbe18	0.05148812551950966	Microbe
Subject13	Microbe18	0.05145072661233349	Microbe
Subject14	Microbe18	0.051431369195739964	Microbe
Subject15	Microbe18	0.05138032992917817	Microbe
Subject16	Microbe18	0.051394844870900964	Microbe
Subject17	Microbe18	0.05135181384129248	Microbe
Subject18	Microbe18	0.05139344303344581	Microbe
Subject19	Microbe18	0.05135035958055557	Microbe
Subject1	Microbe19	0.041002806055356875	Microbe
Subject2	Microbe19	0.05186362390851538	Microbe
Subject3	Microbe19	0.051865151556604074	Microbe
Subject4	Microbe19	0.04981389476671054	Microbe
Subject5	Microbe19	0.05157901824352414	Microbe
Subject6	Microbe19	0.05161838049725894	Microbe
Subject7	Microbe19	0.05138629944133652	Microbe
Subject8	Microbe19	0.05155717873971261	Microbe
Subject9	Microbe19	0.05153065455453827	Microbe
Subject10	Microbe19	0.05139198457272451	Microbe
Subject11	Microbe19	0.05146150236823017	Microbe
Subject12	Microbe19	0.051492453607903124	Microbe
Subject13	Microbe19	0.05148127177306509	Microbe
Subject14	Microbe19	0.05144756180717353	Microbe
Subject15	Microbe19	0.05138033385776302	Microbe
Subject16	Microbe19	0.05139481813831523	Microbe
Subject17	Microbe19	0.05135182779695998	Microbe
Subject18	Microbe19	0.0513934439036084	Microbe
Subject19	Microbe19	0.051350379664043065	Microbe
Subject1	Microbe20	0.04091709819232829	Microbe
Subject2	Microbe20	0.05186829571970553	Microbe
Subject3	Microbe20	0.051868272777676146	Microbe
Subject4	Microbe20	0.04992967573709262	Microbe
Subject5	Microbe20	0.051578967369709176	Microbe
Subject6	Microbe20	0.05161824658761749	Microbe
Subject7	Microbe20	0.0513862669608838	Microbe
Subject8	Microbe20	0.051557171555710185	Microbe
Subject9	Microbe20	0.05153064478111865	Microbe
Subject10	Microbe20	0.051391963954640685	Microbe
Subject11	Microbe20	0.05146147407980919	Microbe
Subject12	Microbe20	0.051492453607903124	Microbe
Subject13	Microbe20	0.0514812717741867	Microbe
Subject14	Microbe20	0.051447559677858724	Microbe
Subject15	Microbe20	0.05138033000470262	Microbe
Subject16	Microbe20	0.051394844870900964	Microbe
Subject17	Microbe20	0.05135181406998199	Microbe
Subject18	Microbe20	0.05139344352899909	Microbe
Subject19	Microbe20	0.051350359423768144	Microbe
Subject1	Microbe1	0.07477701573908051	Metabolite
Subject2	Microbe1	0.058592176220808714	Metabolite
Subject3	Microbe1	0.05728143778482966	Metabolite
Subject4	Microbe1	0.1271687123636646	Metabolite
Subject5	Microbe1	0.05295237754134648	Metabolite
Subject6	Microbe1	0.047675794980380826	Metabolite
Subject7	Microbe1	0.05203306912056935	Metabolite
Subject8	Microbe1	0.05374013207848897	Metabolite
Subject9	Microbe1	0.04905527416059817	Metabolite
Subject10	Microbe1	0.05128078064889467	Metabolite
Subject11	Microbe1	0.045314107820822326	Metabolite
Subject12	Microbe1	0.05424584080228572	Metabolite
Subject13	Microbe1	0.05859552227896431	Metabolite
Subject14	Microbe1	0.059967103679110526	Metabolite
Subject15	Microbe1	0.049948383795112045	Metabolite
Subject16	Microbe1	0.05006185245753346	Metabolite
Subject17	Microbe1	0.050028734569464474	Metabolite
Subject18	Microbe1	0.05012465410743201	Metabolite
Subject19	Microbe1	0.04945096105997424	Metabolite
Subject1	Microbe2	0.43140063572324955	Metabolite
Subject2	Microbe2	0.05076427407516554	Metabolite
Subject3	Microbe2	0.05464523818170799	Metabolite
Subject4	Microbe2	0.03968347868262731	Metabolite
Subject5	Microbe2	0.04963164727857131	Metabolite
Subject6	Microbe2	0.04997165401523576	Metabolite
Subject7	Microbe2	0.04969820190672591	Metabolite
Subject8	Microbe2	0.04861039420865523	Metabolite
Subject9	Microbe2	0.05004991224806764	Metabolite
Subject10	Microbe2	0.049535094799819976	Metabolite
Subject11	Microbe2	0.05026168468432023	Metabolite
Subject12	Microbe2	0.048661176596257204	Metabolite
Subject13	Microbe2	0.048423257169901465	Metabolite
Subject14	Microbe2	0.04903675694513813	Metabolite
Subject15	Microbe2	0.04976459071576424	Metabolite
Subject16	Microbe2	0.04969176513606386	Metabolite
Subject17	Microbe2	0.04928706424541756	Metabolite
Subject18	Microbe2	0.049795354707624466	Metabolite
Subject19	Microbe2	0.05084577768110592	Metabolite
Subject1	Microbe3	0.030247135094952887	Metabolite
Subject2	Microbe3	0.04947448491520569	Metabolite
Subject3	Microbe3	0.04909377013239247	Metabolite
Subject4	Microbe3	0.048702078759232846	Metabolite
Subject5	Microbe3	0.04985961490151751	Metabolite
Subject6	Microbe3	0.04971273963104204	Metabolite
Subject7	Microbe3	0.049917013149665686	Metabolite
Subject8	Microbe3	0.049996064138300704	Metabolite
Subject9	Microbe3	0.0500041733349564	Metabolite
Subject10	Microbe3	0.05114909716936793	Metabolite
Subject11	Microbe3	0.04869604083002038	Metabolite
Subject12	Microbe3	0.05126512035955869	Metabolite
Subject13	Microbe3	0.05084166476318923	Metabolite
Subject14	Microbe3	0.0523376517848395	Metabolite
Subject15	Microbe3	0.04994804134023093	Metabolite
Subject16	Microbe3	0.05006698190523229	Metabolite
Subject17	Microbe3	0.05002505175680399	Metabolite
Subject18	Microbe3	0.050084626161895074	Metabolite
Subject19	Microbe3	0.049464426473229024	Metabolite
Subject1	Microbe4	0.02644228454849439	Metabolite
Subject2	Microbe4	0.04950567603449713	Metabolite
Subject3	Microbe4	0.049529468217245826	Metabolite
Subject4	Microbe4	0.04486671774237113	Metabolite
