Subject	Regulate	Score	Group
Subject4	Microbe17	0.05186883042082206	Microbe
Subject5	Microbe17	0.05175553716317236	Microbe
Subject6	Microbe17	0.051464535404316364	Microbe
Subject7	Microbe17	0.05146703591507134	Microbe
Subject8	Microbe17	0.051168986313881976	Microbe
Subject9	Microbe17	0.051723058905287375	Microbe
Subject10	Microbe17	0.05125393103794946	Microbe
Subject11	Microbe17	0.051606747051478996	Microbe
Subject12	Microbe17	0.05148018025007495	Microbe
Subject13	Microbe17	0.05161989343119111	Microbe
Subject14	Microbe17	0.05191340272620868	Microbe
Subject15	Microbe17	0.05141564455083339	Microbe
Subject16	Microbe17	0.05270926538217434	Microbe
Subject17	Microbe17	0.05219215389554028	Microbe
Subject1	Microbe18	0.05149065371780853	Microbe
Subject2	Microbe18	0.051366225313643286	Microbe
Subject3	Microbe18	0.051564384227493036	Microbe
Subject4	Microbe18	0.05156204385598667	Microbe
Subject5	Microbe18	0.05164982224247986	Microbe
Subject6	Microbe18	0.051463058657560824	Microbe
Subject7	Microbe18	0.05140383014750225	Microbe
Subject8	Microbe18	0.05107590909559665	Microbe
Subject9	Microbe18	0.04912556626415287	Microbe
Subject10	Microbe18	0.05135493835613575	Microbe
Subject11	Microbe18	0.051120392525475435	Microbe
Subject12	Microbe18	0.05081772210493836	Microbe
Subject13	Microbe18	0.05161989330259603	Microbe
Subject14	Microbe18	0.0519134010281366	Microbe
Subject15	Microbe18	0.05141601845620595	Microbe
Subject16	Microbe18	0.052709264934741595	Microbe
Subject17	Microbe18	0.05219215389554028	Microbe
Subject1	Microbe19	0.051445073031297424	Microbe
Subject2	Microbe19	0.05134363127034117	Microbe
Subject3	Microbe19	0.05215050611547444	Microbe
Subject4	Microbe19	0.05186883042082206	Microbe
Subject5	Microbe19	0.051755535583508476	Microbe
Subject6	Microbe19	0.05146453538730628	Microbe
Subject7	Microbe19	0.051467035819065275	Microbe
Subject8	Microbe19	0.05116898628659491	Microbe
Subject9	Microbe19	0.051723058886855626	Microbe
Subject10	Microbe19	0.05125393103049444	Microbe
Subject11	Microbe19	0.051606496285070164	Microbe
